code;label-en_US;label-zh_CN;label-es_ES;attribute;sort_order
welt_pockets;"welt pockets";单嵌线袋;"bolsillos ribeteados";clothing_pocket_description;0
cargo_pocket;"cargo pocket";单个贴袋;"bolsillo cargo";clothing_pocket_description;0
cargo_pockets;"cargo pockets";贴袋;"bolsillos cargo";clothing_pocket_description;0
five_pockets;"five pockets";五口袋;"cinco bolsillos";clothing_pocket_description;0
kangaroo_pocket;"kangaroo pocket";袋鼠式口袋;"bolsillo canguro";clothing_pocket_description;0
buttoned_pocket;"buttoned pocket";单个纽扣口袋;"bolsillo abotonado";clothing_pocket_description;0
buttoned_pockets;"buttoned pockets";纽扣口袋;"bolsillos abotonados";clothing_pocket_description;0
snap_buttoned_pocket;"snap-buttoned pocket";单个摁扣口袋;"bolsillo con broche a presión";clothing_pocket_description;0
snap_buttoned_pockets;"snap-buttoned pockets";摁扣口袋;"bolsillos con broche a presión";clothing_pocket_description;0
back_pocket;"back pocket";背面口袋;"bolsillo trasero";clothing_pocket_description;0
back_pockets;"back pockets";背面口袋;"bolsillos traseros";clothing_pocket_description;0
internal_pocket;"internal pocket";单个暗袋;"bolsillo interno";clothing_pocket_description;0
internal_pockets;"internal pockets";暗袋;"bolsillos internos";clothing_pocket_description;0
side_slit_pockets_back_pockets;"side slit pockets, back pockets";侧插袋，背面口袋;"bolsillos ojal laterales, bolsillos traseros";clothing_pocket_description;0
side_slit_pockets_and_back_pockets;"side slit pockets, back pockets";侧插袋，背面口袋;"bolsillos de ojal laterales, bolsillos traseros";clothing_pocket_description;5
two_way_zipped_fastening;"two-way zipped fastening";双向拉链;"cierre de doble dirección";clothing_closure_type;0
two_way_zipped_front;"two-way zipped front";正面双向拉链;"frente con cierre de doble dirección";clothing_closure_type;0
two_way_zipped_back;"two-way zipped back";背面双向拉链;"cierre de doble dirección en la parte trasera";clothing_closure_type;0
two_way_zipped_front_with_snap_button_fastenings;"two-way zipped front with snap-button fastenings";正面带摁扣双向拉链;"cierre de doble dirección en el frente y broches a presión";clothing_closure_type;0
zipper_fly_and_button_fastening;"zipper fly, button fastening";拉链门襟，纽扣设计;"cremallera y botón";clothing_closure_type;0
zipped_side;"zipped side";侧面拉链;"lateral con cierre";clothing_closure_type;0
double_breasted_buttoned_front;"double-breasted buttoned front";正面双排扣;"doble botonadura";clothing_closure_type;0
concealed_buttoned_front;"concealed buttoned front";正面隐藏式纽扣;"frente con botones ocultos";clothing_closure_type;0
concealed_buttoned_back;"concealed buttoned back";背面隐藏式纽扣;"botones ocultos en la parte trasera";clothing_closure_type;0
zipper_fastening;"zipper fastening";拉链;cierre;clothing_closure_type;0
zipped_front;"zipped front";正面拉链;"cierre en el frente";clothing_closure_type;0
zipped_back;"zipped back";背面拉链;"parte trasera con cierre";clothing_closure_type;0
invisible_zipper;"invisible zipper";隐形拉链;"cierre invisible";clothing_closure_type;0
buttoned_placket;"buttoned placket";纽扣前襟;"solapa abotonada";clothing_closure_type;0
buttoned_front;"buttoned front";正面纽扣;"frente abotonado";clothing_closure_type;0
buttoned_back;"buttoned back";背面纽扣;"botones en la parte trasera";clothing_closure_type;0
buttoned_shoulder;"buttoned shoulder";肩部纽扣;"hombros abotonados";clothing_closure_type;0
button_fastening;"button fastening";纽扣;botones;clothing_closure_type;0
clip_fastening;"clip fastening";夹扣;"cierre de clip";clothing_closure_type;0
hook_fastening;"hook fastening";钩扣;"cierre con gancho";clothing_closure_type;0
drawstring_top;"drawstring top";抽绳包口;"cordón ajustable en la parte superior";clothing_closure_type;0
bar_fastening;"bar fastening";栓扣;"cierre con pasador";clothing_closure_type;0
velcro_fastening;"VELCRO® fastening";VELCRO®魔术贴搭扣;"cierre VELCRO®";clothing_closure_type;0
snap_button_fastening;"snap-button fastening";摁扣;"cierre con broche a presión";clothing_closure_type;0
snap_buttoned_front;"snap-buttoned front";正面摁扣;"frente con broches a presión";clothing_closure_type;0
turn_lock_fastening;"turn-lock fastening";转扣;"cerradura de giro";clothing_closure_type;0
magnetic_fastening;"magnetic fastening";磁扣;"cierre magnético";clothing_closure_type;0
toggle_fastening;"toggle fastening";单颗牛角扣;"cierre de alamar";clothing_closure_type;0
toggle_fastenings;"toggle fastenings";牛角扣;"cierres de alamar";clothing_closure_type;0
hook_fastening_front;"hook-fastening front";正面钩扣;"cierre con gancho en el frente";clothing_closure_type;0
hook_fastening_back;"hook-fastening back";背面钩扣;"cierre con gancho en la parte trasera";clothing_closure_type;0
self_ties;self-ties;系带;lazos;clothing_closure_type;0
open_front;"open front";正面开襟;"frente abierto";clothing_closure_type;0
concealed_zipper;"concealed zipper";隐藏式拉链;"cierre oculto";clothing_closure_type;0
partially_buttoned_front;"partially buttoned front";正面部分摁扣;"frente parcialmente abotonado";clothing_closure_type;0
zipper_fly_button_fastening;"zipper fly, button fastening";拉链门襟，纽扣设计;"cierre, botones";clothing_closure_type;0
zipper_fly_button_and_hook_fastenings;"zipper fly, button and hook fastenings";拉链门襟，纽扣和钩扣设计;"cierre, botones y cierre con gancho";clothing_closure_type;0
zipper_hook_fastening;"zipper, hook fastening";拉链及钩扣设计;"cierre y ganchos";clothing_closure_type;0
zipper_snap_button_fastenings;"zipper, snap-button fastenings";拉链及摁扣设计;"cierre, broches a presión";clothing_closure_type;0
zipper_fly_and_button_and_hook_fastenings;"zipper fly, button and hook fastenings";拉链门襟，纽扣和钩扣设计;"cremallera, botón y cierre con gancho";clothing_closure_type;1
zipper_and_hook_fastening;"zipper, hook fastening";拉链及钩扣设计;"cremallera y cierre con gancho";clothing_closure_type;2
zipper_and_snap_button_fastenings;"zipper, snap-button fastenings";拉链及摁扣设计;"cremallera y botón a presión";clothing_closure_type;35
button_and_hook_fastenings;"button and hook fastenings";纽扣和钩扣设计;"cierre con botón y gancho";clothing_closure_type;37
underwired_cups;"underwired cups";带钢圈罩杯;"copas con aro";clothing_typespecific_details;0
built_in_bustier;"built-in bustier";内置紧身胸衣;"bustier incorporado";clothing_typespecific_details;0
hook_fastening_built_in_bustier;"hook-fastening built-in bustier";内置钩扣紧身胸衣;"bustier incorporado de cierre con gancho";clothing_typespecific_details;0
each_piece_is_unique_and_prints_may_differ_slightly_from_those_shown;"Each piece is unique and prints may differ slightly from those shown";"每件商品均独一无二，印花图案可 与图片略有差异。";"Cada pieza es única y los estampados pueden diferir ligeramente de los que se muestran";clothing_typespecific_details;0
each_piece_is_unique_and_colour_of_fur_may_differ_slightly_from_those_shown;"Each piece is unique and colour of fur may differ slightly from those shown";"每件商品都独一无二，毛皮颜色可能 与图片略有差异。";"Cada pieza es única y los colores de las pieles pueden diferir ligeramente de los que se muestran";clothing_typespecific_details;0
self_tie_neck_back_and_sides;"self-tie neck, back and sides";领口、背部和侧面系带;"cuello para anudar, espalda y laterales";clothing_typespecific_details;0
push_clasp_fastening_top;"push-clasp fastening top";上衣掀扣;"cierre superior con broche a presión";clothing_typespecific_details;0
clasp_fastening_top;"clasp-fastening top";上衣搭扣;"cierre superior con broche";clothing_typespecific_details;0
detachable_fur_trimmed_hood;"detachable fur-trimmed hood";可拆卸毛皮边饰连帽;"capucha con recorte de piel desmontable";clothing_typespecific_details;0
detachable_hood;"detachable hood";可拆卸连帽;"capucha desmontable";clothing_typespecific_details;0
detachable_fur_collar;"detachable fur collar";可拆卸毛领;"cuello de piel desmontable";clothing_typespecific_details;0
detachable_collar;"detachable collar";可拆卸衣领;"cuello desmontable";clothing_typespecific_details;0
detachable_belt;"detachable belt";可拆卸腰带;"cinturón desmontable";clothing_typespecific_details;0
detachable_band;"detachable band";可拆卸衣带;"banda desmontable";clothing_typespecific_details;0
detachable_sleeves;"detachable sleeves";可拆卸衣袖;"mangas desmontables";clothing_typespecific_details;0
hood;hood;连帽;capucha;clothing_typespecific_details;0
drawstring_hood;"drawstring hood";抽绳连帽;"capucha con cordón ajustable";clothing_typespecific_details;0
epaulettes;epaulettes;肩章;charreteras;clothing_typespecific_details;0
shoulder_pads;"shoulder pads";垫肩;hombreras;clothing_typespecific_details;0
hook_fastening_collar;"hook-fastening collar";钩扣衣领;"cierre con gancho en el cuello";clothing_typespecific_details;0
self_tie_collar;"self-tie collar";系带衣领;"cuello para anudar";clothing_typespecific_details;0
buttoned_cuffs;"buttoned cuffs";纽扣袖口;"puños abotonados";clothing_typespecific_details;0
elasticated_cuffs;"elasticated cuffs";松紧袖口;"puños elastizados";clothing_typespecific_details;0
buttoned_sleeves;"buttoned sleeves";纽扣袖口;"mangas abotonadas";clothing_typespecific_details;0
zipped_cuffs;"zipped cuffs";拉链袖口;"cierre en los puños";clothing_typespecific_details;0
self_tie_cuffs;"self-tie cuffs";系带袖口;"puños para anudar";clothing_typespecific_details;0
elasticated_waistband;"elasticated waistband";松紧腰身;"pretina elastizada";clothing_typespecific_details;0
elasticated_drawstring_waist;"elasticated drawstring waist";松紧抽绳腰身;"cintura elastizada con cordón ajustable";clothing_typespecific_details;0
belt_loops;"belt loops";腰带环;presillas;clothing_typespecific_details;0
drawstring;drawstring;抽绳;"cordón ajustable";clothing_typespecific_details;0
drawstring_waist;"drawstring waist";抽绳腰身;"cintura con cordón ajustable";clothing_typespecific_details;0
drawstring_hem;"drawstring hem";抽绳褶边;"dobladillo con cordón ajustable";clothing_typespecific_details;0
zipped_ankle_cuffs;"zipped ankle cuffs";拉链裤口;"cierre en los puños de los tobillos";clothing_typespecific_details;0
elasticated_ankle_cuffs;"elasticated ankle cuffs";松紧裤口;"puños de los tobillos elastizados";clothing_typespecific_details;0
fringed_ends;"fringed ends";毛边;"flecos en los extremos";clothing_typespecific_details;0
adjustable_shoulder_straps;"adjustable shoulder straps";可调节肩带;"correas al hombro ajustables";clothing_typespecific_details;0
detachable_shoulder_straps;"detachable shoulder straps";可拆卸肩带;"correas al hombro desmontables";clothing_typespecific_details;0
detachable_adjustable_shoulder_straps;"detachable, adjustable shoulder straps";可拆卸可调节肩带;"correa al hombro ajustable y desmontable";clothing_typespecific_details;0
padded_cups;"padded cups";带衬垫罩杯;"copas con relleno";clothing_typespecific_details;0
ring_fastening_cuffs;"ring-fastening cuffs";环型搭扣袖口;"puños con cierre de anillo";clothing_typespecific_details;0
drawstring_cuffs;"drawstring cuffs";抽绳袖口;"puños con cordón ajustable";clothing_typespecific_details;0
detachable_cuffs;"detachable cuffs";可拆卸袖口;"puños desmontable";clothing_typespecific_details;0
fringed_hem;"fringed hem";流苏下摆;"flecos en el dobladillo";clothing_typespecific_details;0
detachable_halterneck_ties;"detachable halterneck ties";可拆卸露背系带;"tiras desmontables para atar al cuello";clothing_typespecific_details;0
self_tie_neck;"self-tie neck";系带领口;"cuello para anudar";clothing_typespecific_details;0
removable_cup_padding;"removable cup padding";可拆卸罩杯衬垫;"relleno de la copa desmontable";clothing_typespecific_details;0
detachable_chain;"detachable chain";可拆卸链条;"cadena desmontable";clothing_typespecific_details;0
reversible;reversible;可翻转;reversible;clothing_typespecific_details;0
sleeve_thumb_holes;"sleeve thumb holes";袖口拇指套孔;"mangas con agujeros para los pulgares";clothing_typespecific_details;0
cuff_tab;"cuff tab";袖袢;"lengüeta del puño";clothing_typespecific_details;0
back_waist_tab;"back waist tab";背部腰袢;"lengüeta trasera de la cintura";clothing_typespecific_details;0
self_tie_belt;"self-tie belt";系带腰带;"cinturón para anudar";clothing_typespecific_details;0
attached_belt;"attached belt";一体式腰带;"cinturón incorporado";clothing_typespecific_details;0
side_tie_bottoms;"side-tie bottoms";底部侧面系带;"prenda inferior para anudar a los laterales";clothing_typespecific_details;0
clasp_fastening;"clasp fastening";搭扣;"cierre con broche";clothing_typespecific_details;0
short_vent;"short vent";微开衩;"abertura corta";clothing_typespecific_details;0
long_vent;"long vent";开衩;"abertura larga";clothing_typespecific_details;0
frayed_ends;"frayed ends";毛边;"extremos deshilachados";clothing_typespecific_details;0
frayed_edges;"frayed edges";毛边;"bordes deshilachados";clothing_typespecific_details;0
fringed_edges;"fringed edges";边缘流苏;"flecos en los bordes";clothing_typespecific_details;0
comes_with_dust_bag;"comes with dust bag";随附防尘袋;"incluye funda protectora";clothing_typespecific_details;25
underwire_cups;"underwire cups";带钢圈罩杯;"sujetador con aros";clothing_typespecific_details;30
internal_boning;"internal boning";内置紧身胸衣;"bustier integrado";clothing_typespecific_details;31
unique_piece_prints_may_differ;"Each piece is unique and prints may differ slightly from those shown";每件商品均独一无二，印花图案可能与图片略有差异。;"cada pieza es única y los estampados pueden diferir ligeramente de los que se muestran";clothing_typespecific_details;33
unique_piece_color_may_differ;"Each piece is unique and color of fur may differ slightly from those shown";每件商品都独一无二，毛皮颜色可能与图片略有差异。;"cada pieza es única y el color de la piel puede diferir ligeramente del que se muestra";clothing_typespecific_details;34
self_tie_neck_and_back_and_sides;"self-tie neck, back and sides";领口、背部和侧面系带;"lazadas en el cuello, espalda y laterales";clothing_typespecific_details;50
top_with_push_clasp_fastening;"top with push-clasp fastening";上衣掀扣;"cierre de clip a presión";clothing_typespecific_details;52
top_with_clasp_fastening;"top with clasp fastening";上衣搭扣;"cierre de clip";clothing_typespecific_details;53
decorative_ribbon;"decorative ribbon";装饰带;"lazo decorativo";clothing_typespecific_details;59
decorative_ribbons;"decorative ribbons";装饰带;"lazos decorativos";clothing_typespecific_details;60
drawstring_waist_and_hem;"drawstring waist and hem";抽绳腰身与下摆;"cintura y bajo con cordón ajustable";clothing_typespecific_details;61
unique_piece_embroidery_may_differ;"each piece is unique and embroidery may differ slightly from those shown";每件商品均独一无二，因此刺绣可能与图片略有差异。;"cada pieza es única y el bordado puede diferir ligeramente del que se muestra";clothing_typespecific_details;62
waterproof;waterproof;防水;"resistente al agua";clothing_typespecific_details;63
comes_in_a_garment_bag;"comes in a garment bag";随附服饰袋;"incluye funda protectora";clothing_typespecific_details;64
elasticated_sleeves;"elasticated sleeves";松紧衣袖;"mangas elastizadas";clothing_typespecific_details;65
self_tie_sides;"self-tie sides";侧边系带;"laterales para anudar";clothing_typespecific_details;66
round_toe;"round toe";圆头;"punta redonda";shoes_toe_type;0
pointed_toe;"pointed toe";尖头;"extremo en punta";shoes_toe_type;0
almond_toe;"almond toe";杏仁形鞋头;"punta en avellana";shoes_toe_type;0
square_toe;"square toe";方头;"punta cuadrada";shoes_toe_type;0
round_open_toe;"round open toe";露趾圆头;"punta redonda abierta";shoes_toe_type;0
pointed_open_toe;"pointed open toe";露趾尖头;"extremo en punta abierto";shoes_toe_type;0
almond_open_toe;"almond open toe";杏仁形露趾鞋头;"punta en avellana abierta";shoes_toe_type;0
square_open_toe;"square open toe";露趾方头;"punta cuadrada abierta";shoes_toe_type;0
ankle_strap;"ankle strap";踝带;"correa de tobillo";shoes_closure_type;0
buckle_fastening_ankle_strap;"buckle-fastening ankle strap";搭扣踝带;"correa de tobillo ajustada con hebillas";shoes_closure_type;0
velcro_fastening_ankle_strap;"VELCRO®-fastening ankle strap";VELCRO®魔术贴踝带;"correa de tobillo ajustada con VELCRO®";shoes_closure_type;0
buckle_fastening;"buckle fastening";搭扣;"cierre con hebilla";shoes_closure_type;0
lace_up;lace-up;绑带式;acordonado;shoes_closure_type;0
zipped_fastening;"zipped fastening";拉链;"cierre de doble dirección";shoes_closure_type;0
zipped_side;"zipped side";侧面拉链;"lateral con cierre";shoes_closure_type;0
zipped_back;"zipped back";背面拉链;"parte trasera con cierre";shoes_closure_type;0
faux_zipper;"faux zipper";装饰拉链;"cierre de imitación";shoes_closure_type;0
faux_buckle_fastening;"faux-buckle fastening";装饰搭扣;"cierre con hebilla de imitación";shoes_closure_type;0
velcro_fastening;"VELCRO® fastening";魔术贴搭扣;"cierre VELCRO®";shoes_closure_type;0
elasticated_sides;"elasticated sides";松紧性两侧;"laterales elastizados";shoes_closure_type;0
elasticated_strap;"elasticated strap";松紧饰带;"correa elastizada";shoes_closure_type;0
comes_with_a_polaroid_picture_which_can_be_placed_on_the_outside_of_the_box;"comes with a Polaroid picture, which can be placed on the outside of the box";配有宝丽来贴纸，可粘贴在盒外;"incluye una imagen Polaroid, que se puede colocar en el exterior de la caja";shoes_typespecific_details;0
each_piece_is_unique_and_prints_may_differ_slightly_from_those_shown;"each piece is unique and prints may differ slightly from those shown";每件商品均独一无二，印花图案可能与图片略有差异。;"cada pieza es única y los estampados pueden diferir ligeramente de los que se muestran";shoes_typespecific_details;0
each_piece_is_unique_and_colour_of_fur_may_differ_slightly_from_those_shown;"each piece is unique and colour of fur may differ slightly from those shown";每件商品均独一无二，毛皮颜色可能与图片略有差异。;"cada pieza es única y los colores de las pieles pueden diferir ligeramente de los que se muestran";shoes_typespecific_details;0
each_church_s_style_is_completely_unique_identifiable_by_the_handwritten_name_on_the_inside_of_the_s;"each Church's style is completely unique, identifiable by the handwritten name on the inside of the shoe";Church's的每一双鞋履都独一无二，鞋内有手写名字标识。;"cada diseño de Church es completamente único, identificable por el nombre escrito a mano en el interior del zapato";shoes_typespecific_details;0
polaroid_picture_outside_of_the_box;"comes with a Polaroid picture, which can be placed on the outside of the box";配有宝丽来贴纸，可粘贴在盒外;"incluye una imagen Polaroid que se puede colocar en el exterior de la caja";shoes_typespecific_details;0
unique_piece_prints_may_differ;"each piece is unique and prints may differ slightly from those shown";每件商品均独一无二，印花图案可能与图片略有差异。;"cada pieza es única y los estampados pueden diferir ligeramente de los que se muestran en las imágenes";shoes_typespecific_details;1
unique_piece_fur_color_may_differ;"each piece is unique and color of fur may differ slightly from those shown";每件商品均独一无二，毛皮颜色可能与图片略有差异。;"cada pieza es única y el color del pelo puede diferir ligeramente del que se muestra en las imágenes";shoes_typespecific_details;2
unique_style_handwritten_name_inside;"each Church's style is completely unique, identifiable by the handwritten name on the inside of the shoe";Church's的每一双鞋履都独一无二，鞋内有手写名字标识。;"cada diseño de Church es completamente único, identificable por el nombre escrito a mano en el interior del zapato";shoes_typespecific_details;3
unique_embroidery_may_differ;"each piece is unique and embroidery may differ slightly from those shown";每件商品均独一无二，因此刺绣可能与图片略有差异。;"cada pieza es única y los bordados pueden diferir ligeramente de los que se muestran en las imágenes";shoes_typespecific_details;4
waterproof;waterproof;防水;impermeable;shoes_typespecific_details;5
buckle_fastening;"buckle fastening";针扣;"cierre de hebilla";watches_clasp_type;0
clasp_fastening;"clasp fastening";折叠扣;"cierre de broche";watches_clasp_type;1
butterfly_clasp_fastening;"butterfly-clasp fastening";蝴蝶扣;"cierre desplegable";watches_clasp_type;2
adjustable_clasp_fastening;"adjustable clasp fastening";可调式折叠扣;"cierre de broche ajustable";watches_clasp_type;3
security_catch_clasp_fastening;"security catch-clasp fastening";安全钩闩锁扣;"cierre de broche con sistema de seguridad";watches_clasp_type;4
push_clasp_fastening;"push-clasp fastening";压力搭扣;"cierre de broche a presión";watches_clasp_type;5
clip_fastening;"clip fastening";搭扣;"cierre de clip";watches_clasp_type;6
quartz_movement;"quartz movement";石英机芯;"movimiento de cuarzo";watches_watch_movement;0
automatic_movement;"automatic movement";自动上弦机械机芯;"movimiento automático";watches_watch_movement;1
mechanical_movement;"mechanical movement";手动上弦机械机芯;"movimiento mecánico";watches_watch_movement;2
solar_powered_quartz_movement;"solar-powered quartz movement";太阳能石英机芯;"movimiento de cuarzo con energía solar";watches_watch_movement;3
radio_controlled_quartz_movement;"radio-controlled quartz movement";无线电控石英机芯;"movimiento de cuarzo radiocontrolado";watches_watch_movement;4
ronda_quartz_movement;"Ronda quartz movement";朗达石英机芯;"movimiento de cuarzo Ronda";watches_watch_movement;5
subdial;subdial;跳秒;subdial;watches_typespecific_details;0
stopwatch_function;"stopwatch function";停止功能;"función de cronómetro";watches_typespecific_details;1
luminous_hands;"luminous hands";荧光指针;"agujas luminiscentes";watches_typespecific_details;2
power_reserve_indication;power reserve indication;动力储备显示;"indicación de la reserva de energía";watches_typespecific_details;3
crystal_caseback;"crystal caseback";外壳背部透明;"fondo de cristal";watches_typespecific_details;4
date_display;"date display";日期显示;"visualización de la fecha";watches_typespecific_details;5
galvanized_dial;"galvanized dial";电镀表盘;"esfera galvanizada";watches_typespecific_details;6
breguet_hands;"Breguet hands";宝玑指针;"agujas Breguet";watches_typespecific_details;7
luminescent_dial;luminescent dial;夜光表盘;"esfera luminiscente";watches_typespecific_details;8
alarm_function;"alarm function";闹钟功能;"función de alarma";watches_typespecific_details;9
luminous_indexes;"luminous indexes";夜光数字;"índices luminosos";watches_typespecific_details;10
tachymeter_bezel;"tachymeter bezel";带测速仪表圈;"bisel con taquímetro";watches_typespecific_details;11
rotating_bezel;"rotating bezel";可旋转表圈;"bisel giratorio";watches_typespecific_details;12
crystal_embellished_bezel;"crystal-embellished bezel";表圈镶水晶;"bisel con adornos de cristal";watches_typespecific_details;13
uni_directional_dive_bezel;"uni-directional dive bezel";单向旋转潜水表圈;"bisel unidireccional de inmersión";watches_typespecific_details;14
bi_directional_bezel_with_second_time_zone;"bi-directional bezel with second time zone";带时区显示双向可旋转表圈;"bisel bidireccional con segunda zona horaria";watches_typespecific_details;15
tachymeter;tachymeter;测速仪;taquímetro;watches_typespecific_details;16
pulsimeter_bezel;"pulsimeter bezel";带脉振计表圈;"bisel con pulsómetro";watches_typespecific_details;17
asthmometer_bezel;"asthmometer bezel";带气压计表圈;"bisel del asmómetro";watches_typespecific_details;18
rotating_bezel_with_minute_scale;"rotating bezel with minute scale";带分钟刻度可旋转表圈;"escala de minutos";watches_typespecific_details;19
bezel_with_slide_rule;"bezel with slide rule";带计算尺表圈;"bisel con regla de cálculo";watches_typespecific_details;20
rotating_bezel_with_countdown_timer;"rotating bezel with countdown timer";带倒计时功能可旋转表圈;"bisel giratorio con temporizador de cuenta atrás";watches_typespecific_details;21
leather_lining;"leather lining";皮革衬里;"forro de cuero";bags_inner_description;0
fabric_lining;"fabric lining";织物衬里;"forro de tela";bags_inner_description;0
suede_lining;"suede lining";绒面革衬里;"forro de gamuza";bags_inner_description;0
faux_suede_lining;"faux-suede lining";仿绒面革衬里;"forro de imitación gamuza";bags_inner_description;0
satin_lining;"satin lining";缎布衬里;"forro de satén";bags_inner_description;0
detachable_lining;"detachable lining";可拆卸衬里;"forro desmontable";bags_inner_description;0
two_internal_compartments;"two internal compartments";两个内部隔层;"dos compartimentos internos";bags_inner_description;0
three_internal_compartments;"three internal compartments";三个内部隔层;"tres compartimentos internos";bags_inner_description;0
four_internal_compartments;"four internal compartments";四个内部隔层;"cuatro compartimentos internos";bags_inner_description;0
internal_zipped_and_slot_pockets;"internal zipped and slot pockets";拉链暗袋和暗插袋;"bolsillos internos con cierre y ranura";bags_inner_description;0
internal_zipped_pocket;"internal zipped pocket";一个拉链暗袋;"bolsillo interno con cierre";bags_inner_description;0
internal_zipped_pockets;"internal zipped pockets";拉链暗袋;"bolsillos internos con cierre";bags_inner_description;0
internal_slot_pocket;"internal slot pocket";一个暗插袋;"bolsillo interno con ranura";bags_inner_description;0
internal_slot_pockets;"internal slot pockets";暗插袋;"bolsillos internos con ranura";bags_inner_description;0
internal_zipped_pouch;"internal zipped pouch";一个内部拉链小袋;"neceser interno con cierre";bags_inner_description;0
internal_pouch;"internal pouch";一个内部小袋;"neceser interno";bags_inner_description;0
card_slot;"card slot";一个卡位;"compartimento para tarjeta";bags_inner_description;0
card_slots;"card slots";卡位;"compartimentos para tarjetas";bags_inner_description;0
bill_slot;"bill slot";一个钞位;"división para billetes";bags_inner_description;0
bill_slots;"bill slots";钞位;"divisiones para billetes";bags_inner_description;0
zipped_coin_pocket;"zipped coin pocket";一个拉链零钱袋;"bolsillo para monedas con cierre";bags_inner_description;0
mirrored_interior;"mirrored interior";镜面内里;"interior espejado";bags_inner_description;0
hand_held_mirror;"hand-held mirror";手持化妆镜;"espejo de mano";bags_inner_description;0
mobile_phone_pocket;"mobile phone pocket";一个手机插袋;"bolsillo para celular";bags_inner_description;0
zipped_centre_compartment;"zipped centre compartment";中央拉链隔层;"compartimento central con cierre";bags_inner_description;0
centre_slot_compartment;"centre slot compartment";中央插袋隔层;"compartimento con ranura central";bags_inner_description;0
zipped_center_compartment;"zipped center compartment";中央拉链隔层;"compartimento central con cremallera";bags_inner_description;9
center_slot_compartment;"center slot compartment";中央插袋隔层;"compartimento central con ranura";bags_inner_description;10
suede;suede;绒面革;gamuza;bags_inner_description;26
leather;leather;皮革;piel;bags_inner_description;27
faux_leather_lining;"faux leather lining";人造皮革衬里;"forro de piel sintética";bags_inner_description;28
magnetic;"Magnetic fastening";;;bags_inner_description;29
gold;gold;金色;dorado;bags_all_hardware_colors;0
silver;silver;银色;plateado;bags_all_hardware_colors;1
antique_gold;"antique gold";仿旧金色;"oro envejecido";bags_all_hardware_colors;2
antique_silver;"antique silver";仿旧银色;"plata envejecida";bags_all_hardware_colors;3
pale_gold;"pale gold";淡金色;platino;bags_all_hardware_colors;4
anthracite;anthracite;煤灰色;antracita;bags_all_hardware_colors;5
gold_silver;"gold, silver";金色、银色;"dorado, plateado";bags_all_hardware_colors;6
rose_gold;"rose gold";玫瑰金色;"oro rosa";bags_all_hardware_colors;7
bronze;bronze;古铜色;bronce;bags_all_hardware_colors;8
black;black;黑色;negro;bags_all_hardware_colors;9
gunmetal_grey;"gunmetal grey";炮铜灰色;"gris plomo";bags_all_hardware_colors;10
chain_shoulder_strap;"chain shoulder strap";链式肩带;"correa de cadena al hombro";bags_strap_description;0
chain_and_leather_shoulder_strap;"chain and leather shoulder strap";链饰皮革肩带;"correa de cadena y cuero al hombro";bags_strap_description;0
detachable_chain_and_leather_shoulder_strap;"detachable chain and leather shoulder strap";可拆卸链饰皮革肩带;"correa de cadena y cuero al hombro desmontable";bags_strap_description;0
adjustable_chain_and_leather_shoulder_strap;"adjustable chain and leather shoulder strap";可调节链饰皮革肩带;"correa de cadena y cuero al hombro ajustable";bags_strap_description;0
detachable_adjustable_chain_and_leather_shoulder_strap;"detachable, adjustable chain and leather shoulder strap";可拆卸可调节链饰皮革肩带;"correa de cadena y cuero al hombro ajustable y desmontable";bags_strap_description;0
detachable_adjustable_shoulder_strap;"detachable, adjustable shoulder strap";可拆卸可调节肩带;"correa al hombro ajustable y desmontable";bags_strap_description;0
detachable_shoulder_strap;"detachable shoulder strap";可拆卸肩带;"correa al hombro desmontable";bags_strap_description;0
adjustable_shoulder_strap;"adjustable shoulder strap";单根可调节肩带;"correa al hombro ajustable";bags_strap_description;0
adjustable_shoulder_straps;"adjustable shoulder straps";可调节肩带;"correas al hombro ajustables";bags_strap_description;0
top_handle;"top handle";单根手柄;"asa superior";bags_strap_description;0
top_handles;"top handles";手柄;"asas superiores";bags_strap_description;0
detachable_top_handle;"detachable top handle";可拆卸手柄;"asa superior desmontable";bags_strap_description;0
detachable_chain_shoulder_strap;"detachable chain shoulder strap";可拆卸链式肩带;"correa de cadena al hombro desmontable";bags_strap_description;0
detachable_chain_strap;"detachable chain strap";可拆卸链式肩带;"correa de cadena desmontable";bags_strap_description;12
shoulder_strap;"shoulder strap";肩带;"correa al hombro";bags_strap_description;13
zipped_top;"zipped top";包口带拉链;"cierre en la parte superior";bags_closure_type;0
two_way_zipped_top;"two-way zipped top";包口带双向拉链;"parte superior con cierre de doble dirección";bags_closure_type;0
magnetic_fastening;"magnetic fastening";磁扣;"cierre magnético";bags_closure_type;0
turn_lock_fastening;"turn-lock fastening";转扣;"cerradura de giro";bags_closure_type;0
push_lock_fastening;"push-lock fastening";推扣;"cerradura con mecanismo a presión";bags_closure_type;0
drawstring_top;"drawstring top";抽绳包口;"cordón ajustable en la parte superior";bags_closure_type;0
snap_buttoned_fastening;"snap-buttoned fastening";摁扣;"cierre con broches a presión";bags_closure_type;0
push_stud_fastening_tab;"push-stud fastening tab";摁扣袢带;"lengüeta con broche a presión";bags_closure_type;0
slot_tab_fastening;"slot-tab fastening";袢带插扣;"cierre con lengüeta y ranura";bags_closure_type;0
